,C8:0,C10:0,C12:0,C14:0,C16:0,C18:0,C18:1,C18:2,C18:3,C20:0,C20:1,C22:1,Outros,Número de cetanos
A1,0,0,0.4,2.7,6.1,2.8,16.8,17,35.6,1.4,14.4,0,2.8,50.4
A2,0,0.1,0,0,4.2,2,60.4,21.2,9.6,0.7,1.5,0,0.3,53.7
A3,6.8,5.4,47.7,18.5,9.1,2.7,6.8,2.1,0.1,0.1,0,0,0.7,59.3
A4,0,0,0,0,11.5,1.9,26.6,58.7,0.6,0.3,0.1,0,0.3,55.7
A5,0,0,0.1,0.3,14.9,6.1,40.4,36.2,0.3,0.2,0.1,0,1.4,55.7
A6,0.8,0.5,0.3,1.1,42.1,4.2,40.8,9.5,0.3,0.3,0.1,0,0,61.9
A7,0,0.6,0.1,0,4.2,1.6,59.5,21.5,8.4,0.4,2.1,0,1.6,53.7
A8,0,0,0,0.1,8.2,2.5,14.2,74.3,0.1,0.1,0,0,0.5,51.1
A9,0,0,0.1,0.1,11.6,3.9,23.7,53.8,5.9,0.3,0.3,0,0.3,51.3
A10,0,0,0.1,0.1,6.4,3.6,21.6,66.2,1.5,0.3,0.2,0,0,51.1
A11,0,0.1,0.2,2.6,24.3,18.2,42.2,4.4,0.9,0.2,0.6,0,6.3,58.9
A12,0,0,0.2,0.8,16.5,7.1,44.6,25.1,1.1,0.3,0.5,0,3.8,56.9
A13,0,0,0,0,14.2,7,44.7,32.8,0.2,0,0,0,1.1,51.6
A14,0,0,0,0,22.1,21,44,11.3,0,1.6,0,0,0,50
A15,0,0,0,0,10.6,6.8,49.4,19,0,4.1,2.4,0,7.7,55
A16,0,0,0,0,9.3,6.3,18.8,42.8,22.4,0.3,0,0,0.1,49.1
A17,0,0,0,0,5.2,3.9,11.8,71.6,6.9,0,0,0,0.6,47.52
A18,0,0,0,0,14.2,6.9,43.1,34.4,0,0,0,0,1.4,57.1
A19,0,0,0,0,9.8,6.2,72.2,11.8,0,0,0,0,0,55.1
A20,0,0,0.5,0.2,4.8,5.7,20.6,66.2,0.8,0.4,0,0,0.8,55.6
A21,0,0,0,0.1,11,4,23.4,53.2,7.8,0.3,0,0.1,0.1,58.1
A22,0,0,0,0,40.3,3.1,43.4,13.2,0,0,0,0,0,54.6
A23,0,0,0,0,6.7,3.65,11.75,77.9,0,0,0,0,0,49.8
A24,0,0,0,1.15,23,5,19.1,51.75,0,0,0,0,0,51.2
A25,0,0,0,1.5,2,2.25,24,15,5.5,0,0,49.75,0,54.4
A26,0,0,0,0,5,3.45,28.5,56.35,6.7,0,0,0,0,46.6
A27,0,0,0,0,6.9,4.9,28.2,52,8,0,0,0,0,46.2
A28,0,0,0,1.5,39.2,5.3,45,9,0,0,0,0,0,56.2
A29,0,0,0.1,0.1,10.2,3.7,22.8,53.7,8.6,0,0,0,0.8,45.7
A30,0,0,0,0,12.9,3.7,22.2,52.9,7.9,0,0,0,0.4,46.5
A31,0,0,0,0,10.76,4.37,24.13,51.83,6.81,0,0,0,2.1,47
A32,0,0,0,0,10.5,3.9,23.3,53,7.6,0,0,0,1.7,46.3
A33,0,0,0,0.56,14.17,5.19,48.2,22.19,1.45,0,0,0,8.24,56
A34,0,0,0,0,10.7,3.2,25,53.3,5.4,0,0,0,2.4,46.9
A35,0,0,0,0,3.86,3.9,77.9,13.31,0,0,0,0,1.03,55.9
A36,0,0,0,0,11.75,3.15,23.26,55.53,6.31,0,0,0,0,46.2
A37,0,0,0,0,10.4,4.7,24.8,52.5,6.5,0,0,0,1.1,46.9
A38,0,0,0,0.1,10.3,4.7,22.6,54.1,0.6,0,0,0,7.6,48.9
A39,0,0,0,0.9,10.54,3.75,23.18,48.92,1.16,0,0,0,11.55,49.9
A40,0,0,0,0,6.8,3.26,16.93,73.01,0,0,0,0,0,44.1
A41,0,0,0,0,5.79,5.68,20.43,66.02,0,0,0,0,2.08,45.9
A42,0,0,0,0,6.1,4.1,18.6,69,0.3,0,0,0,1.9,44.9
